epoch,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,train/epoch,train/loss,train/instance_loss,train/model_iou,train/time_per_iter,val/epoch,val/loss,val/instance_loss,val/model_iou,val/metric_val
0,1734300561,checkpoint_000000,True,False,1,aec84_00000,2024-12-15_22-09-27,237.44866728782654,237.44866728782654,1104,132450dabdc2,172.17.0.4,237.44866728782654,1,0,0.33477384224534035,0.42652280509471896,0.6863134765625,1.1337846398353577,0,0.31902149964123966,45.7207595705986,0.64197998046875,0.406178841094176
1,1734300782,checkpoint_000001,True,False,2,aec84_00000,2024-12-15_22-13-03,216.28226947784424,453.7309367656708,1104,132450dabdc2,172.17.0.4,453.7309367656708,2,1,0.25963553477078677,0.34549662172794343,0.63742431640625,1.1211852884292604,1,0.21103238366544247,43.437680304050446,0.6458154296875,0.3208955265209078
2,1734301006,checkpoint_000002,True,False,3,aec84_00000,2024-12-15_22-16-52,228.6582956314087,682.3892323970795,1104,132450dabdc2,172.17.0.4,682.3892323970795,3,2,0.2113811293244362,0.32636411309242247,0.6830908203125,1.1323712062835694,2,0.20985272694379092,34.92626690864563,0.69021484375,0.29129971803476407
3,1734301235,checkpoint_000003,True,False,4,aec84_00000,2024-12-15_22-20-36,224.50343894958496,906.8926713466644,1104,132450dabdc2,172.17.0.4,906.8926713466644,4,3,0.22047400526702404,0.2809736865758896,0.6736962890625,1.114192214012146,3,0.2014339929819107,33.245971381664276,0.6835791015625,0.27950611023853217
4,1734301445,checkpoint_000004,True,False,5,aec84_00000,2024-12-15_22-24-07,210.1712384223938,1117.0639097690582,1104,132450dabdc2,172.17.0.4,1117.0639097690582,5,4,0.1868962898850441,0.2679147815704346,0.6990576171875,1.1087123799324035,4,0.21040767952799797,35.17649441957474,0.65878173828125,0.29167986575514077
5,1734301657,checkpoint_000005,True,False,6,aec84_00000,2024-12-15_22-27-38,211.38331270217896,1328.4472224712372,1104,132450dabdc2,172.17.0.4,1328.4472224712372,6,5,0.17014488562941552,0.2522984439134598,0.7144189453125,1.1059248876571655,5,0.20243971571326255,35.6865713596344,0.6674560546875,0.2946523438021541
6,1734301873,checkpoint_000006,True,False,7,aec84_00000,2024-12-15_22-31-15,217.1349334716797,1545.5821559429169,1104,132450dabdc2,172.17.0.4,1545.5821559429169,7,6,0.1727075719088316,0.2537164944410324,0.7153369140625,1.105236976146698,6,0.2049501356855035,41.01598381996155,0.68666259765625,0.31056862408916164
7,1734302096,checkpoint_000007,True,False,8,aec84_00000,2024-12-15_22-34-58,222.32854962348938,1767.9107055664062,1104,132450dabdc2,172.17.0.4,1767.9107055664062,8,7,0.18319517612457276,0.27566228866577147,0.698076171875,1.129090747833252,7,0.17806972302496432,38.14647001028061,0.67689453125,0.27613940784086793
8,1734302312,checkpoint_000008,True,False,9,aec84_00000,2024-12-15_22-38-34,215.88695216178894,1983.7976577281952,1104,132450dabdc2,172.17.0.4,1983.7976577281952,9,8,0.18040171168744565,0.2747583502531052,0.7012841796875,1.1032028818130493,8,0.17659207236021757,37.99973154067993,0.72571044921875,0.27464770653595527
9,1734302525,checkpoint_000009,True,False,10,aec84_00000,2024-12-15_22-42-07,213.16627526283264,2196.963932991028,1104,132450dabdc2,172.17.0.4,2196.963932991028,10,9,0.1741425958275795,0.26059865653514863,0.7171337890625,1.1156121349334718,9,0.17662132687866688,40.40875279903412,0.68210205078125,0.28454919586579
10,1734302742,checkpoint_000010,True,False,11,aec84_00000,2024-12-15_22-45-44,216.88457345962524,2413.848506450653,1104,132450dabdc2,172.17.0.4,2413.848506450653,11,10,0.1744455736130476,0.27342299282550814,0.7129931640625,1.1128663682937623,10,0.1742279613763094,42.17334848642349,0.6898681640625,0.28988083355128763
11,1734302961,checkpoint_000011,True,False,12,aec84_00000,2024-12-15_22-49-22,218.42263531684875,2632.271141767502,1104,132450dabdc2,172.17.0.4,2632.271141767502,12,11,0.15667152486741542,0.2866726094484329,0.731953125,1.092578055858612,11,0.1672645613923669,38.54075890779495,0.70570068359375,0.27140659353385366
12,1734303173,checkpoint_000012,True,False,13,aec84_00000,2024-12-15_22-52-55,212.7163393497467,2844.9874811172485,1104,132450dabdc2,172.17.0.4,2844.9874811172485,13,12,0.2745484034717083,0.3132813143730164,0.63084228515625,1.1051381278038024,12,0.32021163940429687,46.44143486022949,0.423746337890625,0.40137346960604214
13,1734303393,checkpoint_000013,True,False,14,aec84_00000,2024-12-15_22-56-34,219.43185186386108,3064.4193329811096,1104,132450dabdc2,172.17.0.4,3064.4193329811096,14,13,0.21070461951196193,0.2883916687965393,0.6412646484375,1.1239433908462524,13,0.1689540281891823,42.41991454362869,0.6568212890625,0.28208789208283025
14,1734303605,checkpoint_000014,True,False,15,aec84_00000,2024-12-15_23-00-06,211.65309286117554,3276.072425842285,1104,132450dabdc2,172.17.0.4,3276.072425842285,15,14,0.1802255318313837,0.30353081226348877,0.7007861328125,1.0993907999992372,14,0.17610049586743115,42.00701266527176,0.667900390625,0.28883812646071116
15,1734303821,checkpoint_000015,True,False,16,aec84_00000,2024-12-15_23-03-43,216.86350774765015,3492.9359335899353,1104,132450dabdc2,172.17.0.4,3492.9359335899353,16,15,0.18135307870805265,0.2597033649682999,0.7035546875,1.1365309739112854,15,0.18830134361982345,40.88787096738815,0.642515869140625,0.2984682647387186
16,1734304043,checkpoint_000016,True,False,17,aec84_00000,2024-12-15_23-07-25,221.882728099823,3714.8186616897583,1104,132450dabdc2,172.17.0.4,3714.8186616897583,17,16,0.15150120094418526,0.26978742957115176,0.7357470703125,1.109268684387207,16,0.15157252054661513,40.31521785259247,0.71870849609375,0.26322377422203624
17,1734304261,checkpoint_000017,True,False,18,aec84_00000,2024-12-15_23-11-03,217.8740541934967,3932.692715883255,1104,132450dabdc2,172.17.0.4,3932.692715883255,18,17,0.1416122046485543,0.2713229727745056,0.7419873046875,1.1060610842704772,17,0.13823245823383332,39.98524445295334,0.75974853515625,0.250149883342286
18,1734304483,checkpoint_000018,True,False,19,aec84_00000,2024-12-15_23-14-45,222.06997323036194,4154.762689113617,1104,132450dabdc2,172.17.0.4,4154.762689113617,19,18,0.14430483769625424,0.277860946059227,0.746201171875,1.108694727420807,18,0.15488352596759797,41.0467164516449,0.7234814453125,0.2713650493696332
19,1734304691,checkpoint_000019,True,False,20,aec84_00000,2024-12-15_23-18-12,207.54509592056274,4362.30778503418,1104,132450dabdc2,172.17.0.4,4362.30778503418,20,19,0.152722346521914,0.2612341958284378,0.7303369140625,1.1022130179405212,19,0.1662886282429099,41.46296817064285,0.6858203125,0.2799132893358668
20,1734304906,checkpoint_000020,True,False,21,aec84_00000,2024-12-15_23-21-47,215.06559348106384,4577.3733785152435,1104,132450dabdc2,172.17.0.4,4577.3733785152435,21,20,0.16638564091175795,0.2993184381723404,0.72005859375,1.107109715938568,20,0.1718374017253518,41.74855452775955,0.6911669921875,0.2879975763708353
21,1734305116,checkpoint_000021,True,False,22,aec84_00000,2024-12-15_23-25-17,209.79346990585327,4787.166848421097,1104,132450dabdc2,172.17.0.4,4787.166848421097,22,21,0.13075055584311485,0.28805956363677976,0.7539453125,1.0977612733840942,21,0.18476291730999947,41.50882649421692,0.71916748046875,0.2973689708734552
22,1734305330,checkpoint_000022,True,False,23,aec84_00000,2024-12-15_23-28-52,215.19602608680725,5002.362874507904,1104,132450dabdc2,172.17.0.4,5002.362874507904,23,22,0.15255694393068553,0.27404586791992186,0.73376953125,1.1059044361114503,22,0.15686114460229875,40.827032685279846,0.74259521484375,0.2695028279100854
23,1734305545,checkpoint_000023,True,False,24,aec84_00000,2024-12-15_23-32-30,217.6248812675476,5219.987755775452,1104,132450dabdc2,172.17.0.4,5219.987755775452,24,23,0.1351908890157938,0.2649134123325348,0.7582177734375,1.1081349396705626,23,0.1467888753861189,41.51175135374069,0.7343017578125,0.2633423211673896
24,1734305767,checkpoint_000024,True,False,25,aec84_00000,2024-12-15_23-36-09,218.5962393283844,5438.583995103836,1104,132450dabdc2,172.17.0.4,5438.583995103836,25,24,0.1327245945110917,0.28202775299549104,0.7534375,1.098374547958374,24,0.15168397024273872,40.54512161016464,0.73079345703125,0.26778286529084033
25,1734305977,checkpoint_000025,True,False,26,aec84_00000,2024-12-15_23-39-38,209.60925793647766,5648.193253040314,1104,132450dabdc2,172.17.0.4,5648.193253040314,26,25,0.14562960229814054,0.24680007934570314,0.743681640625,1.1191965436935425,25,0.14313225325196982,39.327758610248566,0.73141845703125,0.2522269408404828
26,1734306193,checkpoint_000026,True,False,27,aec84_00000,2024-12-15_23-43-16,217.6612114906311,5865.854464530945,1104,132450dabdc2,172.17.0.4,5865.854464530945,27,26,0.1468998496234417,0.25392041563987733,0.745283203125,1.112889404296875,26,0.1511660595610738,39.017328798770905,0.74,0.25996016389379895
27,1734306404,checkpoint_000027,True,False,28,aec84_00000,2024-12-15_23-46-46,209.97187423706055,6075.826338768005,1104,132450dabdc2,172.17.0.4,6075.826338768005,28,27,0.13551539659500123,0.2623586356639862,0.756083984375,1.111016194820404,27,0.1351404559239745,40.64198464155197,0.7696923828125,0.2513153783480327
